R_package,method,objective_name,dimension,starting_point,lower_bound,upper_bound,max_iterations,max_evaluations,all_params,value,solution,number_of_iterations,number_of_evaluations,convergence,message,execution_time,time_units,time_cluster
stats,optim,Lall,12,"(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,-,"par = c(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801), fn = function (x) 
{
    th <- c(-1, 2, 0.5, 2, 0.1, 0.01)
    X <- matrix(x, ncol = 2, byrow = TRUE)
    Fl <- cbind(1, X[, 1], X[, 1]^2, X[, 2], X[, 2]^2, X[, 1] * X[, 2])
    eta <- Fl %*% th
    Fx <- (sqrt(exp(eta)/(1 + exp(eta))^2) %*% rep(1, 6)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, method = L-BFGS-B, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxit = 9, factr = 0)",7.45419132247703,"(1, -0.0232689084701694, 0.142132324282068, 1, -1, 1, 1, -1, 0.0505457279320524, 0.0756363439903687, -1, -0.697310723277904)",12,12,1,NEW_X,0.00918221473693848,secs,0.01
GA,ga,Lall,12,-,"(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,-,"type = real-valued, fitness = function (x) 
{
    return(-(Lall(x)))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), maxiter = 3",13.1310820093208,"(-0.590905711054802, 0.156533569097519, 0.478386968374252, -0.837441682815552, -0.355536609888077, 0.45758730173111, -0.955463007092476, 0.742406591773033, 0.640166819095612, 0.900460779666901, 0.579834491014481, 0.459634870290756)",3,-,-,-,0.00977921485900879,secs,0.01
DEoptim,DEoptim,Lall,12,-,"(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,-,"fn = function (x) 
{
    th <- c(-1, 2, 0.5, 2, 0.1, 0.01)
    X <- matrix(x, ncol = 2, byrow = TRUE)
    Fl <- cbind(1, X[, 1], X[, 1]^2, X[, 2], X[, 2]^2, X[, 1] * X[, 2])
    eta <- Fl %*% th
    Fx <- (sqrt(exp(eta)/(1 + exp(eta))^2) %*% rep(1, 6)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(itermax = 2, reltol = 0)",10.835848996938,"(-0.888619423378259, 0.991495862603188, -0.984130597673357, -0.990532817319036, 0.422719682566822, -0.605827797204256, 0.8172812233679, 0.233727141749114, -0.260778847150505, 0.0749355601146817, 0.278680888470262, 0.688427203800529)",2,6,-,-,0.0106537342071533,secs,0.01
pso,psoptim,Lall,12,"(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",11,-,"par = c(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801), fn = function (x) 
{
    th <- c(-1, 2, 0.5, 2, 0.1, 0.01)
    X <- matrix(x, ncol = 2, byrow = TRUE)
    Fl <- cbind(1, X[, 1], X[, 1]^2, X[, 2], X[, 2]^2, X[, 1] * X[, 2])
    eta <- Fl %*% th
    Fx <- (sqrt(exp(eta)/(1 + exp(eta))^2) %*% rep(1, 6)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxit = 11, reltol = 0)",8.55053649199728,"(0.41849252669679, -0.280831834731835, -0.715905450373138, -0.292130195122886, 0.858887252671284, -1, 0.20617504571334, 1, 1, -0.21638014355423, -0.937268175078506, 1)",11,176,2,Maximal number of iterations reached,0.00867867469787598,secs,0.01
ABCoptim,abc_optim,Lall,12,"(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,-,"par = c(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801), fn = function (x) 
{
    th <- c(-1, 2, 0.5, 2, 0.1, 0.01)
    X <- matrix(x, ncol = 2, byrow = TRUE)
    Fl <- cbind(1, X[, 1], X[, 1]^2, X[, 2], X[, 2]^2, X[, 1] * X[, 2])
    eta <- Fl %*% th
    Fx <- (sqrt(exp(eta)/(1 + exp(eta))^2) %*% rep(1, 6)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lb = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), ub = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), criter = 2147483647, maxCycle = 5",18.3795917221053,"(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801)",5,-,-,-,0.0083765983581543,secs,0.01
nloptr,sbplx,Lall,12,"(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",-,180,"x0 = c(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801), fn = function (x) 
{
    th <- c(-1, 2, 0.5, 2, 0.1, 0.01)
    X <- matrix(x, ncol = 2, byrow = TRUE)
    Fl <- cbind(1, X[, 1], X[, 1]^2, X[, 2], X[, 2]^2, X[, 1] * X[, 2])
    eta <- Fl %*% th
    Fx <- (sqrt(exp(eta)/(1 + exp(eta))^2) %*% rep(1, 6)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxeval = 180, xtol_rel = 0)",8.24866285091283,"(1, -0.139358886138803, 0.41445891850418, 1, -0.636855104889839, 1, 1, -1, 0.178714945516749, -0.0618017803729396, -1, -0.179025888029868)",180,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00602459907531738,secs,0.01
nloptr,cobyla,Lall,12,"(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",-,160,"x0 = c(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801), fn = function (x) 
{
    th <- c(-1, 2, 0.5, 2, 0.1, 0.01)
    X <- matrix(x, ncol = 2, byrow = TRUE)
    Fl <- cbind(1, X[, 1], X[, 1]^2, X[, 2], X[, 2]^2, X[, 1] * X[, 2])
    eta <- Fl %*% th
    Fx <- (sqrt(exp(eta)/(1 + exp(eta))^2) %*% rep(1, 6)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxeval = 160, xtol_rel = 0)",7.47196636089562,"(1, -0.0463097274103115, 0.231760129927118, 1, -1, 1, 1, -1, 0.067168301888981, 0.0902370273683274, -1, -0.493454860403218)",160,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00693917274475098,secs,0.01
nloptr,bobyqa,Lall,12,"(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",-,160,"x0 = c(0.321929692290723, -0.325360155664384, -0.177015535999089, 0.864588162396103, -0.884130356833339, 0.469736581668258, 0.331417318433523, -0.810950448270887, -0.0119531829841435, -0.491792438086122, -0.754135131835938, 0.169053333345801), fn = function (x) 
{
    th <- c(-1, 2, 0.5, 2, 0.1, 0.01)
    X <- matrix(x, ncol = 2, byrow = TRUE)
    Fl <- cbind(1, X[, 1], X[, 1]^2, X[, 2], X[, 2]^2, X[, 1] * X[, 2])
    eta <- Fl %*% th
    Fx <- (sqrt(exp(eta)/(1 + exp(eta))^2) %*% rep(1, 6)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxeval = 160, xtol_rel = 0)",7.45461674796923,"(1, -0.0168826606472052, 0.141289359423944, 1, -1, 1, 1, -1, 0.0658319967065387, 0.0622093894118497, -1, -0.671002882878554)",160,-,5,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,0.00715041160583496,secs,0.01
stats,optim,Lall,12,"(-0.899247692897916, -0.163347805384547, 0.277131473645568, 0.667691468261182, -0.0474662664346397, 0.774013763293624, 0.898368173744529, -0.521322757937014, -0.205702976789325, 0.228964066132903, 0.120163130573928, -0.509463224560022)","(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",9,-,"par = c(-0.899247692897916, -0.163347805384547, 0.277131473645568, 0.667691468261182, -0.0474662664346397, 0.774013763293624, 0.898368173744529, -0.521322757937014, -0.205702976789325, 0.228964066132903, 0.120163130573928, -0.509463224560022), fn = function (x) 
{
    th <- c(-1, 2, 0.5, 2, 0.1, 0.01)
    X <- matrix(x, ncol = 2, byrow = TRUE)
    Fl <- cbind(1, X[, 1], X[, 1]^2, X[, 2], X[, 2]^2, X[, 1] * X[, 2])
    eta <- Fl %*% th
    Fx <- (sqrt(exp(eta)/(1 + exp(eta))^2) %*% rep(1, 6)) * Fl
    dt <- max(det(crossprod(Fx)), 1e-100)
    return(-log(dt))
}, method = L-BFGS-B, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), control = list(maxit = 9, factr = 0)",8.19455996853704,"(-1, 0.0295331981466891, 0.209977500227002, 0.118606827162506, -0.981907472059807, 1, 1, -0.983193899805784, 0.611426805260368, 1, 0.257868603026073, -1)",11,11,1,NEW_X,0.00686287879943848,secs,0.01
GA,ga,Lall,12,-,"(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1)","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,-,"type = real-valued, fitness = function (x) 
{
    return(-(Lall(x)))
}, lower = c(-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1), upper = c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), maxiter = 3",11.8105559340865,"(0.79592826962471, 0.698439463973045, -0.182834476232529, 0.841141507029533, -0.350746482610703, -0.598735719919205, 0.785569250583649, -0.550661593675613, -0.260898351669312, 0.48208375275135, -0.985198706388474, 0.341030836105347)",3,-,-,-,0.00761723518371582,secs,0.01
